zip,population,density
90001,56403.0,6639.2
90002,52735.0,6803.9
90003,71708.0,7637.1
90004,58844.0,7447.2
90005,38747.0,12680.0
90006,55192.0,11020.2
90007,39253.0,6236.6
90008,33443.0,4462.8
90010,4478.0,4427.9
90011,102784.0,9252.8
90012,37463.0,3976.0
90013,14891.0,8151.7
90014,9540.0,12303.5
90015,25257.0,5759.2
90016,46102.0,4948.6
90017,28981.0,15827.1
90018,48812.0,6280.5
90019,59288.0,5914.0
90020,38361.0,13320.6
90021,3152.0,615.6
90022,61638.0,5381.4
90023,44608.0,3989.3
90024,50830.0,6599.3
90025,45238.0,6847.2
90026,62902.0,6026.8
90027,46049.0,2188.3
90028,31441.0,8036.3
90029,33830.0,9491.8
90031,36881.0,4069.0
90032,43724.0,3506.2
90033,46540.0,5485.0
90034,55120.0,6862.6
90035,27851.0,4725.0
90036,38784.0,6097.8
90037,67895.0,9078.3
90038,27807.0,6936.1
90039,28572.0,3030.9
90040,11683.0,810.1
90041,27351.0,2938.4
90042,58344.0,4984.6
90043,43548.0,4099.0
90044,95859.0,7254.1
90045,42352.0,1519.8
90046,48905.0,3332.7
90047,50925.0,4177.5
90048,20796.0,4240.1
90049,36735.0,947.3
90052,0.0,0.0
90056,8908.0,1523.5
90057,45548.0,19984.6
90058,3409.0,227.5
90059,38015.0,4642.4
90061,28478.0,4052.2
90062,32110.0,6496.9
90063,50536.0,5940.1
90064,26494.0,2746.5
90065,45075.0,3169.9
90066,54975.0,4414.3
90067,3165.0,2840.8
90068,21569.0,1040.5
90071,304.0,870.8
90073,1053.0,757.9
90077,8158.0,433.8
90079,0.0,0.0
90089,4777.0,5657.2
90095,0.0,0.0
